postnr,fylke,rhf,hf,pasientreisekontor
0001,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0010,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0014,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0015,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0016,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0017,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0018,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0020,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0021,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0022,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0023,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0024,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0025,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0026,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0027,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0028,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0030,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0031,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0032,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0033,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0034,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0037,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0040,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0041,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0042,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0043,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0045,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0046,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0047,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0048,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0050,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0051,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0055,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0060,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0080,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0081,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0101,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0102,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0103,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0104,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0105,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0106,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0107,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0109,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0110,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0111,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0112,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
0113,Oslo,Helse Sør-Øst,Oslo universitetssykehus,"Pasientreisekontoret ved Oslo universitetssykehus, Oslo og Akershus"
